Date,Time,Impact,Event Name,Previous,Forecast,Actual
2011-03-03,8:30am,1,Revised Unit Labor Costs q/q,-0.60%,-0.60%,-0.60%
2011-03-03,9:00am,2,FOMC Member Kocherlakota Speaks,,,
2011-03-03,10:00am,3,ISM Services PMI,59.4,59.6,59.7
2011-03-03,10:30am,1,Natural Gas Storage,-81B,-89B,-85B
2011-03-04,8:30am,3,Non-Farm Employment Change,63K,191K,192K
2011-03-04,8:30am,3,Unemployment Rate,9.00%,9.10%,8.90%
2011-03-04,8:30am,2,Average Hourly Earnings m/m,0.40%,0.20%,0.00%
2011-03-04,10:00am,2,Factory Orders m/m,1.40%,2.10%,3.10%
2011-03-04,10:00am,2,FOMC Member Yellen Speaks,,,
2011-03-07,9:15am,2,FOMC Member Fisher Speaks,,,
2011-03-07,10:00am,2,FOMC Member Evans Speaks,,,
2011-03-07,3:00pm,1,Consumer Credit m/m,4.1B,3.7B,5.0B
2011-03-08,7:30am,1,NFIB Small Business Index,94.1,95,94.5
2011-03-08,10:00am,1,RCM/TIPP Economic Optimism,50.9,51.8,43
2011-03-09,10:00am,1,Final Wholesale Inventories m/m,1.30%,0.90%,1.10%
2011-03-09,10:30am,2,Crude Oil Inventories,-0.4M,0.8M,2.5M
2011-03-09,1:00pm,2,10-y Bond Auction,3.67|3.2,,3.50|3.3
2011-03-09,1:30pm,2,Treasury Sec Geithner Speaks,,,
2011-03-10,8:30am,3,Trade Balance,-40.3B,-41.4B,-46.3B
2011-03-10,8:30am,3,Unemployment Claims,371K,375K,397K
2011-03-10,10:30am,1,Natural Gas Storage,-85B,-72B,-71B
2011-03-10,1:00pm,1,30-y Bond Auction,4.75|2.5,,4.57|3.0
2011-03-10,2:00pm,2,Federal Budget Balance,-49.8B,-232.1B,-222.5B
2011-03-11,8:30am,3,Core Retail Sales m/m,0.60%,0.70%,0.70%
2011-03-11,8:30am,3,Retail Sales m/m,0.70%,0.80%,1.00%
2011-03-11,8:30am,1,FOMC Member Dudley Speaks,,,
2011-03-11,9:55am,3,Prelim UoM Consumer Sentiment,77.5,77,68.2
2011-03-11,9:55am,1,Prelim UoM Inflation Expectations,3.40%,,4.60%
2011-03-11,10:00am,2,Business Inventories m/m,1.10%,0.60%,0.90%
2011-03-11,10:00am,1,JOLTS Job Openings,2.92M,,2.76M
2011-03-13,3:00am,-1,Daylight Saving Time Shift,,,
2011-03-15,8:30am,2,Empire State Manufacturing Index,15.4,16.2,17.5
2011-03-15,8:30am,2,Import Prices m/m,1.30%,0.90%,1.40%
2011-03-15,9:00am,3,TIC Long-Term Purchases,62.5B,59.3B,51.5B
2011-03-15,10:00am,1,NAHB Housing Market Index,16,17,17
2011-03-15,2:14pm,3,Federal Funds Rate,<0.25%,<0.25%,<0.25%
2011-03-15,2:14pm,3,FOMC Statement,,,
2011-03-16,8:30am,3,Building Permits,0.56M,0.58M,0.52M
2011-03-16,8:30am,3,PPI m/m,0.80%,0.70%,1.60%
2011-03-16,8:30am,2,Core PPI m/m,0.50%,0.20%,0.20%
2011-03-16,8:30am,2,Current Account,-126B,-111B,-113B
2011-03-16,8:30am,2,Housing Starts,0.62M,0.58M,0.48M
2011-03-16,10:30am,2,Crude Oil Inventories,2.5M,1.8M,1.7M
2011-03-17,8:30am,3,Core CPI m/m,0.20%,0.10%,0.20%
2011-03-17,8:30am,3,CPI y/y,1.60%,2.00%,2.10%
2011-03-17,8:30am,3,Unemployment Claims,401K,388K,385K
2011-03-17,8:30am,2,CPI m/m,0.40%,0.50%,0.50%
2011-03-17,9:15am,2,Capacity Utilization Rate,76.40%,76.60%,76.30%
2011-03-17,9:15am,2,Industrial Production m/m,0.30%,0.70%,-0.10%
2011-03-17,10:00am,3,Philly Fed Manufacturing Index,35.9,29.9,43.4
2011-03-17,10:00am,1,CB Leading Index m/m,0.10%,0.90%,0.80%
2011-03-17,10:30am,1,Natural Gas Storage,-71B,-41B,-56B
2011-03-21,10:00am,3,Existing Home Sales,5.40M,5.15M,4.88M
2011-03-22,7:35am,2,FOMC Member Fisher Speaks,,,
2011-03-22,8:30am,2,Treasury Sec Geithner Speaks,,,
2011-03-22,9:59am,1,Richmond Manufacturing Index,25,23,20
2011-03-22,10:00am,1,HPI m/m,-1.00%,-0.20%,-0.30%
2011-03-23,7:00am,2,FOMC Member Fisher Speaks,,,
2011-03-23,10:00am,3,New Home Sales,301K,291K,250K
2011-03-23,10:30am,2,Crude Oil Inventories,1.7M,2.0M,2.1M
2011-03-23,12:00pm,3,Fed Chairman Bernanke Speaks,,,
2011-03-24,8:30am,3,Core Durable Goods Orders m/m,-3.00%,2.10%,-0.60%
2011-03-24,8:30am,3,Unemployment Claims,387K,388K,382K
2011-03-24,8:30am,2,Durable Goods Orders m/m,3.60%,1.20%,-0.90%
2011-03-24,10:30am,1,Natural Gas Storage,-56B,-11B,-6B
2011-03-24,7:30pm,1,FOMC Member Duke Speaks,,,
2011-03-25,5:00am,2,FOMC Member Kocherlakota Speaks,,,
2011-03-25,7:30am,2,FOMC Member Fisher Speaks,,,
2011-03-25,8:30am,2,Final GDP q/q,2.80%,3.00%,3.10%
2011-03-25,8:30am,1,Final GDP Price Index q/q,0.40%,0.40%,0.40%
2011-03-25,9:55am,2,Revised UoM Consumer Sentiment,68.2,68.1,67.5
2011-03-25,9:55am,1,Revised UoM Inflation Expectations,4.60%,,4.60%
2011-03-25,12:15pm,2,FOMC Member Plosser Speaks,,,
2011-03-28,8:30am,2,Core PCE Price Index m/m,0.20%,0.20%,0.20%
2011-03-28,8:30am,2,Personal Spending m/m,0.30%,0.60%,0.70%
2011-03-28,8:30am,1,Personal Income m/m,1.20%,0.50%,0.30%
2011-03-28,10:00am,3,Pending Home Sales m/m,-2.80%,-0.50%,2.10%
2011-03-28,3:40pm,2,FOMC Member Evans Speaks,,,
2011-03-29,9:00am,2,S&P/CS Composite-20 HPI y/y,-2.40%,-3.10%,-3.10%
2011-03-29,10:00am,3,CB Consumer Confidence,72,64.9,63.4
2011-03-30,7:30am,1,Challenger Job Cuts y/y,20.00%,,-38.60%
2011-03-30,8:15am,3,ADP Non-Farm Employment Change,208K,205K,201K
2011-03-30,10:30am,2,Crude Oil Inventories,2.1M,1.6M,2.9M
2011-03-31,8:30am,3,Unemployment Claims,394K,379K,388K
2011-03-31,9:45am,2,Chicago PMI,71.2,70.1,70.6
2011-03-31,10:00am,2,Factory Orders m/m,3.30%,0.70%,-0.10%
2011-03-31,10:30am,1,Natural Gas Storage,-6B,-2B,12B
2011-03-31,12:45pm,1,FOMC Member Tarullo Speaks,,,
2011-04-01,8:15am,2,FOMC Member Plosser Speaks,,,
2011-04-01,8:30am,3,Non-Farm Employment Change,194K,191K,216K
2011-04-01,8:30am,3,Unemployment Rate,8.90%,8.90%,8.80%
2011-04-01,8:30am,2,Average Hourly Earnings m/m,0.00%,0.20%,0.00%
2011-04-01,10:00am,3,ISM Manufacturing PMI,61.4,61.1,61.2
2011-04-01,10:00am,1,Construction Spending m/m,-1.80%,-0.10%,-1.40%
2011-04-01,10:00am,1,FOMC Member Dudley Speaks,,,
2011-04-01,10:00am,1,ISM Manufacturing Prices,82,83.1,85
2011-04-01,12:00am,1,Total Vehicle Sales,13.4M,13.3M,13.1M
2011-04-04,9:30am,2,FOMC Member Evans Speaks,,,
2011-04-04,7:15pm,3,Fed Chairman Bernanke Speaks,,,
2011-04-05,10:00am,3,ISM Services PMI,59.7,59.8,57.3
2011-04-05,11:15am,2,FOMC Member Plosser Speaks,,,
2011-04-05,2:00pm,3,FOMC Meeting Minutes,,,
2011-04-06,10:30am,2,Crude Oil Inventories,2.9M,1.3M,2.0M
2011-04-07,8:30am,3,Unemployment Claims,392K,385K,382K
2011-04-07,10:30am,1,Natural Gas Storage,12B,-51B,-45B
2011-04-07,3:00pm,1,Consumer Credit m/m,4.4B,4.8B,7.6B
2011-04-08,10:00am,1,Final Wholesale Inventories m/m,1.00%,1.10%,1.00%
2011-04-08,10:15am,2,FOMC Member Fisher Speaks,,,
2011-04-09,2:00pm,2,FOMC Member Yellen Speaks,,,
2011-04-11,5:15am,2,FOMC Member Dudley Speaks,,,
2011-04-11,11:00am,2,FOMC Member Evans Speaks,,,
2011-04-11,12:15pm,2,FOMC Member Yellen Speaks,,,
2011-04-12,6:15am,2,FOMC Member Dudley Speaks,,,
2011-04-12,7:30am,1,NFIB Small Business Index,94.5,95,91.9
2011-04-12,8:30am,3,Trade Balance,-47.0B,-44.1B,-45.8B
2011-04-12,8:30am,2,Import Prices m/m,1.40%,2.10%,2.70%
2011-04-12,10:00am,1,RCM/TIPP Economic Optimism,43,45.7,40.8
2011-04-12,2:00pm,2,Federal Budget Balance,-222.5B,-163.5B,-188.2B
2011-04-12,2:45pm,1,FOMC Member Tarullo Speaks,,,
2011-04-12,2:50pm,2,FOMC Member Fisher Speaks,,,
2011-04-13,8:30am,3,Core Retail Sales m/m,1.10%,0.70%,0.80%
2011-04-13,8:30am,3,Retail Sales m/m,1.10%,0.60%,0.40%
2011-04-13,10:00am,2,Business Inventories m/m,1.00%,0.80%,0.50%
2011-04-13,10:00am,1,JOLTS Job Openings,2.74M,,3.09M
2011-04-13,10:30am,2,Crude Oil Inventories,2.0M,0.9M,1.6M
2011-04-13,1:30pm,1,President Obama Speaks,,,
2011-04-13,2:00pm,2,10-y Bond Auction,3.50|3.3,,3.49|3.1
2011-04-13,2:00pm,2,Beige Book,,,
2011-04-14,8:30am,3,PPI m/m,1.60%,1.10%,0.70%
2011-04-14,8:30am,3,Unemployment Claims,385K,379K,412K
2011-04-14,8:30am,2,Core PPI m/m,0.20%,0.20%,0.30%
2011-04-14,9:00am,1,FOMC Member Duke Speaks,,,
2011-04-14,9:20am,2,FOMC Member Kocherlakota Speaks,,,
2011-04-14,10:30am,1,Natural Gas Storage,-45B,34B,28B
2011-04-14,12:30pm,2,FOMC Member Plosser Speaks,,,
2011-04-14,1:00pm,1,30-y Bond Auction,4.57|3.0,,4.53|2.8
2011-04-14,1:15pm,2,FOMC Member Tarullo Speaks,,,
2011-04-15,8:30am,3,Core CPI m/m,0.20%,0.20%,0.10%
2011-04-15,8:30am,3,CPI y/y,2.10%,2.60%,2.70%
2011-04-15,8:30am,2,CPI m/m,0.50%,0.50%,0.50%
2011-04-15,8:30am,2,Empire State Manufacturing Index,17.5,17.1,21.7
2011-04-15,9:00am,3,TIC Long-Term Purchases,51.1B,59.4B,26.9B
2011-04-15,9:15am,2,Capacity Utilization Rate,76.90%,77.50%,77.40%
2011-04-15,9:15am,2,Industrial Production m/m,0.10%,0.50%,0.80%
2011-04-15,9:55am,3,Prelim UoM Consumer Sentiment,67.5,68.7,69.6
2011-04-15,9:55am,1,Prelim UoM Inflation Expectations,4.60%,,4.60%
2011-04-15,10:00am,2,FOMC Member Evans Speaks,,,
2011-04-18,10:00am,1,NAHB Housing Market Index,17,17,16
2011-04-18,10:30am,2,FOMC Member Fisher Speaks,,,
2011-04-18,12:30pm,2,FOMC Member Fisher Speaks,,,
2011-04-19,8:30am,3,Building Permits,0.53M,0.55M,0.59M
2011-04-19,8:30am,2,Housing Starts,0.51M,0.53M,0.55M
2011-04-20,10:00am,3,Existing Home Sales,4.92M,5.02M,5.10M
2011-04-20,10:30am,2,Crude Oil Inventories,1.6M,0.7M,-2.3M
2011-04-20,12:30pm,3,Fed Chairman Bernanke Testifies,,,
2011-04-21,8:30am,3,Unemployment Claims,416K,394K,403K
2011-04-21,10:00am,3,Philly Fed Manufacturing Index,43.4,37.1,18.5
2011-04-21,10:00am,1,CB Leading Index m/m,1.00%,0.30%,0.40%
2011-04-21,10:00am,1,HPI m/m,-1.00%,0.20%,-1.60%
2011-04-21,10:30am,1,Natural Gas Storage,28B,53B,47B
2011-04-25,10:00am,3,New Home Sales,270K,280K,300K
2011-04-26,9:00am,2,S&P/CS Composite-20 HPI y/y,-3.10%,-3.20%,-3.30%
2011-04-26,10:00am,3,CB Consumer Confidence,63.8,64.6,65.4
2011-04-26,10:00am,1,Richmond Manufacturing Index,20,20,10
2011-04-27,8:30am,3,Core Durable Goods Orders m/m,0.60%,1.70%,1.30%
2011-04-27,8:30am,2,Durable Goods Orders m/m,0.70%,2.10%,2.50%
2011-04-27,10:30am,2,Crude Oil Inventories,-2.3M,1.4M,6.2M
2011-04-27,12:32pm,3,Federal Funds Rate,<0.25%,<0.25%,<0.25%
2011-04-27,12:32pm,3,FOMC Statement,,,
2011-04-27,2:00pm,2,FOMC Economic Projections,,,
2011-04-27,2:15pm,3,FOMC Press Conference,,,
2011-04-28,8:30am,3,Advance GDP q/q,3.10%,1.90%,1.80%
2011-04-28,8:30am,3,Unemployment Claims,404K,392K,429K
2011-04-28,8:30am,2,Advance GDP Price Index q/q,0.40%,2.20%,1.90%
2011-04-28,8:30am,1,FOMC Member Duke Speaks,,,
